Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1040000, 1000000, 0, 40000, 4, 25.4901, 24.5097, 303985

conn2_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 21.7758, 21.1416, 352414

conn3_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.8502, 20.2429, 368059

conn4_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.1563, 19.5692, 380730

conn5_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.9224, 19.3421, 385200
