Time,from_ingress_queue_size,to_ingress_queue_size
955.674,1,nan
963.125,0,nan
964.125,0,1
965.125,0,0
1435.51,1,0
1442.96,0,0
1443.96,0,1
1444.96,0,0
1912.35,1,0
1919.8,0,0
1920.8,0,1
1922.8,0,0
2389.19,1,0
2396.64,0,0
2397.64,0,1
2398.64,0,0
2866.02,1,0
2873.47,0,0
2874.47,0,1
2877.47,0,0
3342.86,1,0
3350.31,0,0
3351.31,0,1
3352.31,0,0
3819.7,1,0
3827.15,0,0
3828.15,0,1
3831.15,0,0
4296.53,1,0
4303.99,0,0
4304.99,0,1
4305.99,0,0
4773.37,1,0
4780.82,0,0
4781.82,0,1
4784.82,0,0
5250.21,1,0
5257.66,0,0
5258.66,0,1
5259.66,0,0
5727.05,1,0
5734.5,0,0
5735.5,0,1
5738.5,0,0
6203.88,1,0
6211.33,0,0
6212.33,0,1
6213.33,0,0
6680.72,1,0
6688.17,0,0
6689.17,0,1
6692.17,0,0
7157.56,1,0
7165.01,0,0
7166.01,0,1
7167.01,0,0
7634.39,1,0
7641.85,0,0
7642.85,0,1
7645.85,0,0
8111.23,1,0
8118.68,0,0
8119.68,0,1
8120.68,0,0
8588.07,1,0
8595.52,0,0
8596.52,0,1
8599.52,0,0
9064.91,1,0
9072.36,0,0
9073.36,0,1
9074.36,0,0
9541.74,1,0
9549.19,0,0
9550.19,0,1
9553.19,0,0
10018.6,1,0
10026,0,0
10027,0,1
10028,0,0
10495.4,1,0
10502.9,0,0
10503.9,0,1
10506.9,0,0
10972.3,1,0
10979.7,0,0
10980.7,0,1
10981.7,0,0
11449.1,1,0
11456.5,0,0
11457.5,0,1
11460.5,0,0
11925.9,1,0
11933.4,0,0
11934.4,0,1
11935.4,0,0
12402.8,1,0
12410.2,0,0
12411.2,0,1
12414.2,0,0
12879.6,1,0
12887.1,0,0
12888.1,0,1
12889.1,0,0
13356.4,1,0
13363.9,0,0
13364.9,0,1
13367.9,0,0
13833.3,1,0
13840.7,0,0
13841.7,0,1
13842.7,0,0
14310.1,1,0
14317.6,0,0
14318.6,0,1
14321.6,0,0
14787,1,0
14794.4,0,0
14795.4,0,1
14796.4,0,0
15263.8,1,0
15271.2,0,0
15272.2,0,1
15275.2,0,0
15740.6,1,0
15748.1,0,0
15749.1,0,1
15750.1,0,0
16217.5,1,0
16224.9,0,0
16225.9,0,1
16228.9,0,0
16694.3,1,0
16701.8,0,0
16702.8,0,1
16703.8,0,0
17171.1,1,0
17178.6,0,0
17179.6,0,1
17182.6,0,0
17648,1,0
17655.4,0,0
17656.4,0,1
17657.4,0,0
18124.8,1,0
18132.3,0,0
18133.3,0,1
18136.3,0,0
18601.6,1,0
18609.1,0,0
18610.1,0,1
18611.1,0,0
19078.5,1,0
19085.9,0,0
19086.9,0,1
19089.9,0,0
19555.3,1,0
19562.8,0,0
19563.8,0,1
19564.8,0,0
20032.2,1,0
20039.6,0,0
20040.6,0,1
20043.6,0,0
20509,1,0
20516.4,0,0
20517.4,0,1
20518.4,0,0
20985.8,1,0
20993.3,0,0
20994.3,0,1
20997.3,0,0
21462.7,1,0
21470.1,0,0
21471.1,0,1
21472.1,0,0
21939.5,1,0
21947,0,0
21948,0,1
21951,0,0
22416.3,1,0
22423.8,0,0
22424.8,0,1
22425.8,0,0
22893.2,1,0
22900.6,0,0
22901.6,0,1
22904.6,0,0
23370,1,0
23377.5,0,0
23378.5,0,1
23379.5,0,0
23846.9,1,0
23854.3,0,0
23855.3,0,1
23858.3,0,0
24323.7,1,0
24331.1,0,0
24332.1,0,1
24333.1,0,0
24800.5,1,0
