Time,from_ingress_queue_size,to_ingress_queue_size
0,128,nan
1,256,nan
2,384,nan
3,512,nan
4,640,nan
5,768,nan
6,896,nan
7,1024,nan
8,1152,nan
9,1280,nan
10,1408,nan
11,1536,nan
12,1664,nan
13,1792,nan
14,1920,nan
15,2048,nan
16,2176,nan
17,2304,nan
18,2432,nan
19,2560,nan
20,2688,nan
21,2816,nan
22,2944,nan
23,3072,nan
24,3200,nan
25,3328,nan
26,3456,nan
27,3584,nan
28,3712,nan
29,3840,nan
30,3968,nan
31,4096,nan
32,4096,nan
33,4096,nan
34,4096,nan
35,4096,nan
36,4096,nan
37,4096,nan
38,4096,nan
39,4096,nan
40,4096,nan
41,4096,nan
42,4096,nan
43,4096,nan
44,4096,nan
45,4096,nan
46,4096,nan
47,4096,nan
48,4096,nan
49,4096,nan
50,4096,nan
51,4096,nan
52,4096,nan
53,4096,nan
54,4096,nan
55,4096,nan
56,4096,nan
57,4096,nan
58,4096,nan
59,4096,nan
60,4096,nan
61,4096,nan
62,4096,nan
63,4096,nan
64,4096,nan
65,4096,nan
66,4096,nan
67,4096,nan
68,4096,nan
69,4096,nan
70,4096,nan
71,4096,nan
72,4096,nan
73,4096,nan
74,4096,nan
75,4096,nan
76,4096,nan
77,4096,nan
78,4096,nan
79,4096,nan
80,4096,nan
81,4096,nan
82,4096,nan
83,4096,nan
84,4096,nan
85,4096,nan
86,4096,nan
87,4096,nan
88,4096,nan
89,4096,nan
90,4096,nan
91,4096,nan
92,4096,nan
93,4096,nan
94,4096,nan
95,4096,nan
96,4096,nan
97,4096,nan
98,4096,nan
99,4096,nan
953.674,3968,nan
954.674,3968,0
1907.35,3840,0
1908.35,3840,128
1910.35,3840,0
2000,3968,0
2001,4096,0
2002,4096,0
2003,4096,0
2004,4096,0
2005,4096,0
2006,4096,0
2007,4096,0
2008,4096,0
2009,4096,0
2010,4096,0
2011,4096,0
2012,4096,0
2013,4096,0
2014,4096,0
2015,4096,0
2016,4096,0
2017,4096,0
2018,4096,0
2019,4096,0
2020,4096,0
2021,4096,0
2022,4096,0
2023,4096,0
2024,4096,0
2025,4096,0
2026,4096,0
2027,4096,0
2028,4096,0
2029,4096,0
2030,4096,0
2031,4096,0
2032,4096,0
2033,4096,0
2034,4096,0
2035,4096,0
2036,4096,0
2037,4096,0
2038,4096,0
2039,4096,0
2040,4096,0
2041,4096,0
2042,4096,0
2043,4096,0
2044,4096,0
2045,4096,0
2046,4096,0
2047,4096,0
2048,4096,0
2049,4096,0
2050,4096,0
2051,4096,0
2052,4096,0
2053,4096,0
2054,4096,0
2055,4096,0
2056,4096,0
2057,4096,0
2058,4096,0
2059,4096,0
2060,4096,0
2061,4096,0
2062,4096,0
2063,4096,0
2064,4096,0
2065,4096,0
2066,4096,0
2067,4096,0
2068,4096,0
2069,4096,0
2070,4096,0
2071,4096,0
2072,4096,0
2073,4096,0
2074,4096,0
2075,4096,0
2076,4096,0
2077,4096,0
2078,4096,0
2079,4096,0
2080,4096,0
2081,4096,0
2082,4096,0
2083,4096,0
2084,4096,0
2085,4096,0
2086,4096,0
2087,4096,0
2088,4096,0
2089,4096,0
2090,4096,0
2091,4096,0
2092,4096,0
2093,4096,0
